gene,model,barseq
H16_B0449,0,0
H16_A3621,0,0
H16_A2354,0,1
H16_B1994,0,0
H16_B2235,0,0
H16_A0923,0,0
H16_B0811,0,1
H16_A1971,0,0
H16_A2568,0,1
H16_A1972,0,0
H16_A1291,0,0
H16_A0167,0,0
H16_A1038,1,1
H16_A3430,0,0
H16_B2192,0,0
H16_A3431,0,0
H16_B2193,0,0
H16_B2194,0,0
H16_A3408,0,0
H16_A1452,0,1
H16_A3080,0,0
H16_B1164,0,1
H16_B0046,0,0
H16_A2529,0,0
H16_A1223,1,1
H16_A2611,1,1
H16_B0550,0,1
H16_A2763,0,0
H16_A3184,0,0
H16_A1964,0,0
H16_B0968,0,0
H16_A1924,0,0
H16_A1558,0,0
H16_A3599,0,0
H16_B2323,0,0
H16_A2834,0,1
H16_B0797,0,0
H16_B2403,0,0
H16_A0169,0,1
H16_B2270,0,0
H16_B1500,0,0
H16_B1499,0,0
H16_B1498,0,0
PHG421,0,0
H16_B1389,0,1
H16_B1395,0,1
PHG426,0,1
H16_B1394,0,1
PHG427,0,0
H16_A0330,1,1
H16_A0237,1,1
H16_A0238,1,1
